coordinator,dataset_mode,noise_level,num_runs,num_packages,final_accuracy_mean,final_accuracy_std,handling_accuracy_mean,handling_accuracy_std,hub_accuracy_mean,hub_accuracy_std,depot_accuracy_mean,depot_accuracy_std,conflict_rate_mean,conflict_rate_std,conflict_resolution_accuracy_mean,conflict_resolution_accuracy_std,manual_review_rate_mean,manual_review_rate_std,avg_processing_time_ms_mean,avg_processing_time_ms_std
WeightedVotingCoordinator,multi_label,0.1,30,15000,0.7910666666666667,0.017282507268080758,0.7910666666666667,0.017282507268080758,0.875,0.014553113187503085,0.8722,0.014643817101778662,0.6617333333333334,0.019123795131455595,0.782260990622445,0.02203013325915749,0.0108,0.004887704489063735,0.0445806337093624,0.005607069024127459
WeightedVotingCoordinator,multi_label,0.2,30,15000,0.6164666666666666,0.01629625159636272,0.6164666666666666,0.01629625159636272,0.7698,0.022017861088138236,0.7654666666666666,0.021642444462187053,0.6434666666666667,0.019742712899793655,0.5738645600927338,0.020656660277185167,0.029066666666666668,0.007856178474925646,0.04608309996353152,0.005425380795099352
WeightedVotingCoordinator,multi_label,0.35,30,15000,0.40553333333333336,0.0276414647714741,0.40553333333333336,0.0276414647714741,0.6328666666666667,0.01648977391228156,0.6256666666666667,0.01697124004030783,0.6598666666666666,0.021424660836382517,0.35677854108619467,0.02796642860785269,0.05313333333333334,0.008011772946553492,0.04522341996004495,0.005681165054847456
WeightedVotingCoordinator,noisy_address,0.0,30,15000,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.1994,0.015984043767845915,1.0,0.0,0.0,0.0,0.04102650004206225,0.007249540415317863
WeightedVotingCoordinator,noisy_address,0.1,30,15000,0.7378666666666667,0.01979852542982439,0.7378666666666667,0.01979852542982439,1.0,0.0,1.0,0.0,0.40353333333333335,0.022564441561636433,0.3884505458745494,0.024358994850717394,0.0,0.0,0.0441173332859762,0.005951273192237838
WeightedVotingCoordinator,noisy_address,0.2,30,15000,0.5238666666666667,0.025585196869490286,0.5238666666666667,0.025585196869490286,1.0,0.0,1.0,0.0,0.5661333333333333,0.020577412010684682,0.2033680835835548,0.02840231094840741,0.0,0.0,0.05248425981068673,0.012805518178208847
WeightedVotingCoordinator,noisy_address,0.35,30,15000,0.29433333333333334,0.021205616258895665,0.29433333333333334,0.021205616258895665,1.0,0.0,1.0,0.0,0.7526666666666666,0.023272498692712387,0.09695935499549684,0.015658623834418975,0.0,0.0,0.049028680361031245,0.011306186153850173
WeightedVotingCoordinator,normal,0.0,30,15000,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.19446666666666665,0.01568380085296298,1.0,0.0,0.0,0.0,0.04140545337189299,0.0054954259897091315
WeightedVotingCoordinator,normal,0.1,30,15000,0.6399333333333334,0.025409655147456134,0.7362666666666667,0.020238122669738984,0.8346,0.017958957039066442,0.8315333333333332,0.019072878981519225,0.3459333333333333,0.024688309858679282,0.38069446841736543,0.0366548533216442,0.09733333333333333,0.014396679055118647,0.04413099973850573,0.006332220354202997
WeightedVotingCoordinator,normal,0.2,30,15000,0.40259999999999996,0.02196643207102679,0.5292666666666667,0.018669416874578106,0.6953999999999999,0.018600333701122206,0.6891333333333333,0.01993564358272564,0.4368,0.019698415829880748,0.2027254597938583,0.024853035445551508,0.13286666666666666,0.015336981075353359,0.04290363327600062,0.005555308352046003
